a,b,nbits,z_exp,z,passed,cycles,cycles_correct
515,3152,10,167,167,1,10,1
1280,8656,11,302,302,1,11,1
13259,14595,10,930,930,1,10,1
8371,12227,11,1402,1402,1,11,1
4723,19746,11,489,489,1,11,1
16804,22605,4,11,11,1,4,1
2964,50286,4,0,0,1,4,1
30841,58376,6,33,33,1,6,1
47812,50602,9,483,483,1,9,1
2772,15663,8,45,45,1,8,1
18709,64405,5,9,9,1,5,1
54741,62984,15,28479,28479,1,15,1
35382,55465,10,653,653,1,10,1
39988,57783,10,708,708,1,10,1
36878,62251,9,303,303,1,9,1
2878,4751,13,4962,4962,1,13,1
10755,23619,9,233,233,1,9,1
7274,11055,14,10780,10780,1,14,1
4926,42957,5,3,3,1,5,1
3295,39691,13,680,680,1,13,1
11946,37130,13,2635,2635,1,13,1
7362,24473,15,9857,9857,1,15,1
39496,52014,13,6220,6220,1,13,1
4627,16587,8,71,71,1,8,1
11095,32414,12,1402,1402,1,12,1
2222,5236,4,6,6,1,4,1
7320,12438,5,18,18,1,5,1
7784,20585,7,48,48,1,7,1
16238,28320,10,587,587,1,10,1
4744,43082,13,902,902,1,13,1
7950,9024,6,56,56,1,6,1
28903,40068,11,1477,1477,1,11,1
11779,43927,12,1098,1098,1,12,1
5935,26978,5,7,7,1,5,1
26887,43671,11,1260,1260,1,11,1
2192,15875,14,2262,2262,1,14,1
1551,23091,7,8,8,1,7,1
26242,32790,11,1639,1639,1,11,1
32071,37443,6,54,54,1,6,1
2422,5636,15,14081,14081,1,15,1
6511,20647,8,80,80,1,8,1
31777,38588,8,210,210,1,8,1
26311,61156,7,55,55,1,7,1
5412,36290,12,610,610,1,12,1
36,213,10,173,173,1,10,1
18141,55974,12,1327,1327,1,12,1
2649,3247,7,104,104,1,7,1
2579,4986,5,16,16,1,5,1
33867,51218,10,677,677,1,10,1
7720,21866,4,5,5,1,4,1
5733,15025,7,48,48,1,7,1
11058,17518,10,646,646,1,10,1
11472,59831,8,49,49,1,8,1
41688,63964,9,333,333,1,9,1
6832,43313,15,5168,5168,1,15,1
19456,35274,7,70,70,1,7,1
15187,22339,10,696,696,1,10,1
1427,6981,13,1674,1674,1,13,1
15142,16043,13,7731,7731,1,13,1
25166,43041,14,9579,9579,1,14,1
9610,32414,12,1214,1214,1,12,1
5367,20627,11,532,532,1,11,1
14448,23223,7,79,79,1,7,1
1550,7777,4,3,3,1,4,1
15373,39415,10,399,399,1,10,1
49567,51539,13,7878,7878,1,13,1
3449,52249,12,270,270,1,12,1
25923,64938,8,102,102,1,8,1
9022,29497,9,156,156,1,9,1
16781,53134,11,646,646,1,11,1
10517,42968,10,250,250,1,10,1
21811,24151,13,7398,7398,1,13,1
11247,63435,4,2,2,1,4,1
26335,39438,11,1367,1367,1,11,1
1398,13042,4,1,1,1,4,1
7999,15910,14,8237,8237,1,14,1
22112,32326,12,2801,2801,1,12,1
5912,60278,12,401,401,1,12,1
23745,31074,14,12519,12519,1,14,1
348,7507,5,1,1,1,5,1
1812,37037,11,100,100,1,11,1
16498,42014,7,50,50,1,7,1
14920,36447,8,104,104,1,8,1
14902,19140,11,1594,1594,1,11,1
16614,57801,5,9,9,1,5,1
1619,7009,6,14,14,1,6,1
37691,43502,7,110,110,1,7,1
34838,37236,8,239,239,1,8,1
31128,44340,5,22,22,1,5,1
3126,48689,12,262,262,1,12,1
8626,50991,15,5543,5543,1,15,1
390,53979,6,0,0,1,6,1
1727,10100,10,175,175,1,10,1
6562,37172,15,5784,5784,1,15,1
11163,19889,11,1149,1149,1,11,1
7447,63027,5,3,3,1,5,1
37474,40926,4,14,14,1,4,1
12077,18766,7,82,82,1,7,1
11868,46357,14,4194,4194,1,14,1
1762,4389,6,25,25,1,6,1
